district,address,boomTime,lat,lon,state_code
大同區,民族西路與延平北路4段口,105-4-7,25.0688526,121.51077990000002,554326997
大同區,承德路3段225巷,105-3-14,25.0701746,121.5190774,554427002
大同區,民權西路72號,105-3-31,25.062611800000006,121.5195281,554226988
大同區,承德路3段208巷,105-4-18,25.0704902,121.517492,554427002
大同區,民族西路與大龍街口,105-4-19,25.063097,121.51654,554226988
大同區,太原路133巷,105-4-13,25.0530244,121.5166799,554026968
大同區,重慶北路3段191巷21號與民族西路187巷口,105-4-13,25.0717546,121.513667,554427003
大同區,承德路1段與南京西路口,105-4-17,25.053328,121.5176323,554026969
大同區,延平北路1段與甘谷街口,105-4-18,25.0527697,121.5118289,554026966
大同區,民生西路167號,105-4-28,25.0574065,121.5173916,554126977
大同區,承德路1段與長安西路口,105-4-29,25.0509042,121.5169661,553926963
大同區,哈密街45巷,105-5-7,25.074082,121.5173581,554527008
大同區,承德路3段與敦煌路口,105-5-1,25.0707623,121.518518,554427002
大同區,哈密街59巷與敦煌路口,105-3-28,25.0763338,121.5155544,554527011
大同區,長安西路與塔城街口,105-4-16,25.050385,121.5097864,553926961
大同區,鄭州路與延平北路1段口,105-4-19,25.048754,121.510948,553926957
大同區,環河北路1段與民生西路口,105-5-6,25.0568782,121.5082932,554126974
大同區,民生西路與太原路口,105-5-6,25.0570219,121.5167199,554126976
大同區,延平北路2段144巷,105-5-12,25.0576494,121.5110915,554126976
大同區,鄭州路與環河北路1段口,105-4-20,25.0507942,121.5067592,553926961
大同區,環河北路1段,105-4-28,25.0596283,121.5085172,554126980
大同區,南京西路與承德路1段口,105-4-22,25.053328,121.5176323,554026969
大同區,延平北路2段268號,105-4-26,25.054041,121.511629,554026969
大同區,民權西路與重慶北路3段口,105-3-20,25.063738600000004,121.5138136,554226989
大同區,承德橋,105-4-12,25.0776942,121.521069,554527014
大同區,昌吉街6號,105-3-17,25.0657464,121.5177019,554326994
大同區,承德路2段與平陽街口,105-3-17,25.0551611,121.5165423,554026973
大同區,承德路3段與敦煌路口,105-3-18,25.0707623,121.518518,554427002
大同區,環河北路1段與民生西路口,105-3-24,25.0568782,121.5082932,554126974
大同區,南京西路與民樂街口,105-3-31,25.0538358,121.5110423,554026969
大同區,長安西路118號,105-4-6,25.0505232,121.5182267,553926963
大同區,環河北路1段171號,105-4-6,25.055451,121.508036,554026971
大同區,環河北路1段187號,105-4-7,25.05589,121.50823,554126972
大同區,重慶北路3段236巷,105-4-9,25.0705484,121.5127784,554427001
大同區,堤外便道,105-4-9,25.0307777,121.4882044,553526907
大同區,承德路3段5號,105-3-14,25.0634737,121.5185414,554226990
大同區,延平北路2段與民權西路口,105-3-17,25.0627882,121.5112205,554226987
大同區,太原路與平陽街口,105-3-18,25.0551611,121.5165423,554026973
大同區,台北橋往三重方向機車道 上橋處號,105-5-2,25.0632482,121.5095113,554226987
大同區,延平北路1段38號,105-4-4,25.0508947,121.5118346,553926962
大同區,承德路2段24號,105-4-4,25.055615,121.517957,554026974
大同區,鄭州路與塔城街口,105-4-6,25.050385,121.5097864,553926961
大同區,鄭州路與西寧北路口,105-3-23,25.050385,121.5097864,553926961
大同區,鄭州路與塔城街口,105-4-8,25.050385,121.5097864,553926961
大同區,延平北路2段與歸綏街口,105-3-29,25.0582238,121.5105935,554126978
大同區,鄭州路139號,105-4-1,25.0504907,121.5101047,553926961
大同區,忠孝西路2段與塔城街口,105-4-26,25.0476299,121.5127104,553926955
大同區,酒泉街與迪化街2段口,105-2-27,25.0703643,121.5116522,554427000
大同區,赤峰街41巷,105-4-7,25.0548665,121.5200008,554026973
大同區,承德路2段與民生西路口,105-4-24,25.055966,121.5183901,554126975
大同區,大龍街192號,105-4-28,25.0690389,121.515846,554326999
大同區,延平北路4段201號,105-4-30,25.0740699,121.5116238,554527006
大同區,承德路3段與民族西路口,105-5-3,25.068799,121.51346399999998,554326998
大同區,長安西路78巷2-2號,105-5-4,25.0498299,121.5189129,553926962
大同區,民權西路與延平北路2段口,105-3-14,25.0621,121.511175,554226985
大同區,承德路3段122巷,105-3-14,25.0672912,121.5179864,554326996
大同區,歸綏街248號,105-3-15,25.058056,121.508944,554126977
大同區,環河北路1段與市民高架口,105-3-22,25.0447672,121.537358,553826954
大同區,忠孝西路2段與塔城街口,105-3-22,25.0476299,121.5127104,553926955
大同區,昌吉街與蘭州街口,105-3-24,25.0660099,121.515667,554326994
大同區,民生西路與重慶北路2段口,105-3-29,25.0570027,121.5138475,554126976
大同區,承德路3段24巷與大龍街口,105-3-31,25.063097,121.51654,554226988
大同區,民生西路199號,105-3-31,25.057277,121.516633,554126977
大同區,長安西路106號,105-3-17,25.0504699,121.5185288,553926963
大同區,承德路2段195號,105-3-25,25.0632571,121.5180676,554226989
大同區,鄭州路145號,105-3-28,25.0509696,121.5093209,553926962
大同區,重慶北路2段,105-3-29,25.0585191,121.5137091,554126979
大同區,民權西路225巷與民權西路口,105-3-29,25.0643302,121.5119253,554226990
大同區,民生西路與承德路2段口,105-4-21,25.0550237,121.5180181,554026973
大同區,長安西路258號,105-4-22,25.051647600000006,121.5134389,554026964
大同區,涼州街與寧夏路口,105-4-24,25.0608909,121.5148694,554226984
大同區,大龍街159巷,105-5-1,25.0680799,121.5162568,554326997
大同區,重慶北路2段與涼州街口,105-5-4,25.0608909,121.5148694,554226984
大同區,赤峰街53巷與南京西路25巷口,105-5-6,25.0562635,121.5204527,554126976
大同區,民族西路252巷,105-5-7,25.0679084,121.5122529,554326996
大同區,延平北路3段與民權西路口,105-5-7,25.0631105,121.5112207,554226987
大同區,歸綏街與環河北路1段口,105-5-13,25.058171,121.508565,554126977
大同區,南京西路75號,105-5-6,25.0532567,121.5186785,554026969
大同區,台北橋,105-5-7,25.0632482,121.5095113,554226987
大同區,延平北路2段與涼州街口,105-5-11,25.060562,121.511509,554226982
大同區,民生西路與太原路口,105-5-10,25.0570219,121.5167199,554126976
大同區,長安西路與塔城街口,105-4-12,25.050385,121.5097864,553926961
大同區,民生西路294號,105-4-18,25.0568474,121.51260390000002,554126975
大同區,承德路1段與錦西街口,105-5-5,25.0602313,121.5187898,554226983
大同區,南京西路62號,105-4-27,25.052828,121.5191693,554026968
大同區,酒泉街207號,105-3-15,25.0722456,121.51167859999998,554427003
大同區,民生西路與赤峰街口,105-3-17,25.0579015,121.5206032,554126979
大同區,延平北路2段與涼州街口,105-3-25,25.060562,121.511509,554226982
大同區,南京西路304號,105-4-1,25.0538961,121.5134624,554026969
大同區,庫倫街13巷,105-5-11,25.0723628,121.5173753,554427005
大同區,民樂街95號,105-5-12,25.056527,121.5109828,554126974
大同區,台北橋與台北橋口,105-5-12,25.0637104,121.5065347,554226987
大同區,長安西路275號,105-1-9,25.052185,121.5106447,554026965
大同區,承德路3段249號,105-4-7,25.071402,121.518832,554427004
大同區,延平北路4段229號,105-4-14,25.075325,121.5119147,554527008
大同區,延平北路2段245號,105-4-23,25.0621681,121.511391,554226985
大同區,鄭州路與西寧北路口,105-3-31,25.050385,121.5097864,553926961
大同區,延平北路2段272巷與安西街口,105-4-16,25.0620234,121.5105781,554226985
大同區,重慶北路3段與民族西路口,105-4-22,25.0686418,121.5138172,554326998
大同區,承德路1段與鄭州路口,105-4-27,25.0490476,121.5181099,553926960
大同區,民生西路與環河北路1段口,105-3-10,25.0836033,121.506889,554727019
大同區,涼州街與安西街口,105-3-15,25.0608909,121.5148694,554226984
大同區,重慶北路3段與民族西路口,105-3-14,25.0686418,121.5138172,554326998
大同區,南京西路123號,105-4-6,25.0541182,121.5150598,554026970
大同區,民生西路與延平北路2段口,105-4-5,25.056957,121.5115836,554126975
大同區,承德路1段22號,105-3-5,25.0633359,121.518582,554226989
