area,village,median,lat,lon,state_code
松山區,中崙里,803,25.0462094,121.5448501,553826959
松山區,自強里,800,25.0550991,121.563402,554026983
松山區,鵬程里,746,25.0554159,121.5676828,554026984
松山區,東榮里,906,25.0604219,121.557694,554226992
松山區,介壽里,856,25.0574338,121.559121,554126987
松山區,東勢里,766,25.0527232,121.5551967,554026976
松山區,東光里,768,25.0527836,121.561975,554026978
松山區,中正里,990,25.0503465,121.5469909,553926969
松山區,復盛里,702,25.0468264,121.559121,553926964
松山區,復勢里,772,25.0501507,121.556267,553926971
松山區,美仁里,853,25.0498332,121.5519858,553926969
松山區,吉仁里,802,25.0465976,121.5530561,553926962
松山區,精忠里,908,25.0649138,121.5526993,554327000
松山區,東昌里,905,25.0575322,121.5544832,554126986
松山區,福成里,889,25.0468634,121.5477044,553926961
松山區,中華里,950,25.0541473,121.5505587,554026978
松山區,吉祥里,747,25.050468,121.560548,553926972
松山區,新東里,722,25.0573948,121.5705365,554126989
松山區,三民里,769,25.0596604,121.5623318,554126992
松山區,復建里,837,25.0461728,121.556267,553826961
松山區,敦化里,816,25.0461912,121.5505587,553826960
松山區,安平里,667,25.0527643,121.5676828,554026979
松山區,富錦里,719,25.0600662,121.5648289,554126993
松山區,莊敬里,682,25.0721568,121.5669693,554427016
松山區,新益里,723,25.0620451,121.5676828,554226998
松山區,富泰里,798,25.05783,121.5644722,554126989
松山區,龍田里,983,25.0551182,121.557694,554026982
松山區,慈祐里,638,25.0507461,121.5762438,553926976
松山區,復源里,742,25.0462614,121.5544832,553826961
松山區,民福里,698,25.063112,121.5462773,554226995
松山區,松基里,802,25.0564818,121.5462773,554126982
松山區,新聚里,705,25.0501126,121.5676828,553926973
松山區,民有里,782,25.0601237,121.5477044,554126990
大安區,建安里,811,25.0435392,121.5505587,553826954
大安區,通安里,683,25.0309328,121.5534129,553526922
大安區,民輝里,912,25.0397731,121.535573,553726941
大安區,德安里,828,25.0349287,121.5477044,553626932
大安區,敦安里,935,25.0355829,121.5505587,553626934
大安區,光明里,1040,25.0336709,121.5248678,553626923
大安區,永康里,813,25.0319208,121.5280795,553526919
大安區,福住里,1011,25.0319922,121.5320047,553526920
大安區,仁愛里,927,25.039738,121.5469909,553726944
大安區,義村里,721,25.0392606,121.5405685,553726941
大安區,臥龍里,778,25.0223393,121.5448501,553326895
大安區,通化里,646,25.0315868,121.556267,553526924
大安區,龍生里,966,25.0257514,121.5402117,553426904
大安區,新龍里,849,25.0292347,121.539498,553526914
大安區,住安里,734,25.0322765,121.5477044,553526924
大安區,錦泰里,909,25.0310182,121.5248678,553526916
大安區,建倫里,878,25.039561,121.5505587,553726944
大安區,錦華里,1001,25.0283656,121.5248678,553426909
大安區,光武里,776,25.0432212,121.5462773,553826952
大安區,仁慈里,946,25.0356006,121.5448501,553626933
大安區,黎孝里,693,25.0170005,121.556267,553226882
大安區,民炤里,950,25.0352993,121.5348594,553626930
大安區,昌隆里,767,25.043575,121.5391412,553826951
大安區,黎和里,723,25.0125099,121.5612615,553126869
大安區,龍雲里,863,25.0299602,121.5462773,553526918
大安區,芳和里,716,25.020996,121.5505587,553326893
大安區,龍安里,1007,25.0280135,121.5320047,553426909
大安區,義安里,900,25.0316047,121.5505587,553526923
大安區,虎嘯里,809,25.0230734,121.5487748,553326899
大安區,龍淵里,955,25.0230108,121.5419957,553326897
大安區,龍坡里,962,25.023699,121.5334321,553326897
大安區,龍門里,1002,25.0318159,121.535573,553526920
大安區,敦煌里,894,25.0349109,121.5534129,553626933
大安區,羣賢里,787,25.025646,121.5477044,553426906
大安區,車層里,859,25.0404625,121.5537697,553726947
大安區,光信里,808,25.0355649,121.556267,553626935
大安區,和安里,962,25.0357773,121.5412821,553626932
大安區,正聲里,840,25.0395429,121.556267,553726945
大安區,誠安里,723,25.0429031,121.5419957,553826950
大安區,華聲里,791,25.0435208,121.556267,553826955
大安區,臨江里,635,25.0288553,121.5551967,553526917
大安區,龍陣里,883,25.0279,121.5423525,553426911
大安區,龍圖里,862,25.0309678,121.5419957,553526920
大安區,古莊里,842,25.0240509,121.5262952,553426896
大安區,錦安里,993,25.0276942,121.5277226,553426907
大安區,大學里,910,25.0200558,121.5320047,553326886
大安區,古風里,842,25.0220534,121.52915,553326891
